City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
256,San Juan,AR,2021-10-22 00:58:02,-31.5375,-68.5364,74.57,22,3,2.86
257,Ayagoz,KZ,2021-10-22 00:58:55,47.9714,80.4392,45.73,80,100,9.13
258,Rajula,IN,2021-10-22 00:58:55,21.05,71.4333,72.64,73,1,7.14
259,Capreol,CA,2021-10-22 00:58:56,46.706,-80.9225,34.27,92,40,1.99
260,Nuuk,GL,2021-10-22 00:58:56,64.1835,-51.7216,31.44,53,100,16.51
261,Sawtell,AU,2021-10-22 00:58:57,-30.3833,153.1,76.19,77,90,8.05
262,Hovd,MN,2021-10-22 00:58:57,48.0056,91.6419,33.3,43,6,1.19
263,Puerto De La Cruz,ES,2021-10-22 00:58:57,28.414,-16.5487,73.36,78,43,1.01
264,Port Lincoln,AU,2021-10-22 00:58:58,-34.7333,135.8667,64.13,64,98,5.97
265,Zaragoza,ES,2021-10-22 00:58:58,41.6561,-0.8773,56.01,71,20,5.99
266,Khatanga,RU,2021-10-22 00:58:58,71.9667,102.5,-4.79,100,95,3.27
267,Nizwa,OM,2021-10-22 00:58:16,22.9333,57.5333,74.19,57,4,1.3
268,Necochea,AR,2021-10-22 00:58:59,-38.5473,-58.7368,59.04,86,100,5.14
269,Chuy,UY,2021-10-22 00:58:59,-33.6971,-53.4616,54.86,87,0,4.99
270,Smestad,NO,2021-10-22 00:58:59,59.9333,10.6667,44.02,52,100,9.31
271,Kieta,PG,2021-10-22 00:59:00,-6.2167,155.6333,82.72,77,100,7.27
272,Marawi,PH,2021-10-22 00:59:00,7.9986,124.2928,74.64,75,89,3.4
273,Makhachkala,RU,2021-10-22 00:59:01,42.9764,47.5024,40.98,68,0,7.4
274,Bertoua,CM,2021-10-22 00:59:01,4.5833,13.6833,67.08,97,100,2.04
275,Pavlovsk,RU,2021-10-22 00:59:01,50.4578,40.1081,50.76,59,70,18.63
276,Berdigestyakh,RU,2021-10-22 00:59:02,62.0989,126.6992,35.17,88,100,10.8
277,Ocos,GT,2021-10-22 00:59:03,14.5094,-92.1933,82.31,95,100,11.95
278,Pevek,RU,2021-10-22 00:58:19,69.7008,170.3133,12.6,90,100,13.2
279,Kenai,US,2021-10-22 00:59:03,60.5544,-151.2583,45.03,89,90,9.22
280,Bereda,ES,2021-10-22 00:59:04,43.2686,-7.5406,50.0,100,31,1.32
281,Oyama,JP,2021-10-22 00:59:04,36.3,139.8,53.82,57,100,5.95
282,Kindu,CD,2021-10-22 00:59:04,-2.95,25.95,68.49,100,100,2.53
283,Isla Mujeres,MX,2021-10-22 00:59:05,21.2311,-86.731,82.17,77,87,8.9
284,Luangwa,ZM,2021-10-22 00:59:05,-15.6167,30.4167,69.3,70,87,2.42
285,Oytal,KZ,2021-10-22 00:59:05,42.9057,73.2697,37.22,92,100,5.23
286,Rafaela,AR,2021-10-22 00:59:06,-31.2503,-61.4867,70.05,44,0,5.01
287,Nemuro,JP,2021-10-22 00:59:06,43.3236,145.575,50.43,76,100,8.75
288,Tromso,NO,2021-10-22 00:55:57,69.6496,18.957,35.62,60,40,3.0
289,Banyo,CM,2021-10-22 00:59:07,6.75,11.8167,64.89,96,100,0.85
290,Brae,GB,2021-10-22 00:59:07,60.3964,-1.353,42.71,60,100,31.09
291,Jiwani,PK,2021-10-22 00:59:07,25.05,61.7417,78.33,75,0,5.55
292,Nome,US,2021-10-22 00:59:08,64.5011,-165.4064,33.87,80,75,12.66
293,Kodiak,US,2021-10-22 00:59:08,57.79,-152.4072,40.28,71,100,10.2
294,Alencon,FR,2021-10-22 00:59:08,48.4333,0.0833,45.39,88,5,1.77
295,Constitucion,CL,2021-10-22 00:59:09,-35.3333,-72.4167,51.8,84,100,15.05
