City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
120,Sidney,AU,81.34,scattered clouds,-33.8679,151.2073,The Grace Sydney
121,Banda Aceh,ID,80.31,overcast clouds,5.5577,95.3222,Sulthan Hotel International
130,Meulaboh,ID,77.56,overcast clouds,4.1363,96.1285,Kost Pria
133,Yako,BF,82.13,few clouds,12.9667,-2.2667,CADAAY
137,Morgan City,US,75.2,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
140,Victoria,HK,80.26,overcast clouds,22.2855,114.1577,Mini Hotel Central
141,Kapit,MY,82.63,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
143,Ferkessedougou,CI,76.1,scattered clouds,9.6,-5.2,Hotel Chateau
145,Airai,TL,77.27,overcast clouds,-8.9266,125.4092,Juvinal Martin
149,Karratha,AU,80.15,clear sky,-20.7377,116.8463,ibis Styles Karratha
151,Boyolangu,ID,80.31,overcast clouds,-8.1181,111.8935,Yos ega cv
152,Gizo,SB,84.56,clear sky,-8.103,156.8419,Imagination Island
154,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
157,Machilipatnam,IN,75.4,broken clouds,16.1667,81.1333,R&B Bungalow
160,Lorengau,PG,85.95,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
164,Salinopolis,BR,80.58,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
167,Hobyo,SO,80.17,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
170,Piracuruca,BR,77.61,clear sky,-3.9281,-41.7092,Pousada Piracuruca
184,Poum,NC,75.69,overcast clouds,-20.2333,164.0167,Gîte kajeon
196,Jucurutu,BR,80.85,clear sky,-6.0339,-37.0203,Pousada Miike
198,Biak,ID,84.0,few clouds,-0.9131,122.8766,Penginapan Kim
