City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Gizo,SB,-8.103,156.8419,84.56,68,10,5.79,clear sky
153,Taicheng,CN,38.731,113.228,46.71,43,100,1.48,overcast clouds
154,Vila Velha,BR,-20.3297,-40.2925,75.15,88,40,3.44,scattered clouds
155,Norman Wells,CA,65.282,-126.8329,26.55,96,100,4.27,light snow
156,Port Alfred,ZA,-33.5906,26.891,66.92,85,100,28.52,overcast clouds
157,Machilipatnam,IN,16.1667,81.1333,75.4,79,52,6.93,broken clouds
158,Nome,US,64.5011,-165.4064,23.16,78,98,2.01,overcast clouds
159,Gobabis,NA,-22.45,18.9667,74.5,13,100,8.05,overcast clouds
160,Lorengau,PG,-2.0226,147.2712,85.95,65,11,4.88,few clouds
161,Moba,CN,33.2288,105.0179,41.77,80,100,1.66,overcast clouds
162,Simnas,LT,54.4,23.65,47.97,85,100,13.69,overcast clouds
163,Udachnyy,RU,66.4167,112.4,-3.8,100,76,2.95,broken clouds
164,Salinopolis,BR,-0.6136,-47.3561,80.58,81,75,12.84,broken clouds
165,Souillac,MU,-20.5167,57.5167,72.36,69,59,12.5,broken clouds
166,Cherskiy,RU,68.75,161.3,-14.19,98,65,4.05,broken clouds
167,Hobyo,SO,5.3505,48.5268,80.17,76,81,7.47,broken clouds
168,Kamen-Rybolov,RU,44.7481,132.0403,49.89,57,0,8.66,clear sky
169,Cairns,AU,-16.9167,145.7667,92.95,57,75,10.36,broken clouds
170,Piracuruca,BR,-3.9281,-41.7092,77.61,67,5,4.05,clear sky
171,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.21,99,100,1.3,overcast clouds
172,Saint Anthony,US,45.0205,-93.218,52.3,53,1,4.0,clear sky
173,Lompoc,US,34.6391,-120.4579,68.56,70,1,12.66,clear sky
174,Lavrentiya,RU,65.5833,-171.0,13.98,72,96,6.04,overcast clouds
175,Kutum,SD,14.2,24.6667,71.49,25,99,7.54,overcast clouds
176,Rehoboth,NA,-23.3167,17.0833,71.73,15,100,5.86,overcast clouds
177,Pravda,RU,46.9396,142.009,46.4,76,99,8.57,overcast clouds
178,Salalah,OM,17.0151,54.0924,71.69,56,0,4.61,clear sky
179,Klaksvik,FO,62.2266,-6.589,50.92,83,0,24.52,clear sky
180,San Cristobal,VE,7.7669,-72.225,73.58,98,100,2.8,overcast clouds
181,Lokosovo,RU,61.1333,74.8167,22.96,82,95,15.32,overcast clouds
182,Cidreira,BR,-30.1811,-50.2056,68.61,73,0,11.18,clear sky
183,Shenjiamen,CN,29.9576,122.298,67.3,62,9,12.82,clear sky
184,Poum,NC,-20.2333,164.0167,75.69,72,100,6.22,overcast clouds
185,Bolotnoye,RU,55.6717,84.3981,27.91,69,71,15.05,broken clouds
186,Rawson,AR,-43.3002,-65.1023,67.71,37,0,16.6,clear sky
187,Qandala,SO,11.472,49.8728,76.87,64,5,1.81,clear sky
188,Weihe,CN,32.9952,105.3247,46.98,87,100,1.77,overcast clouds
189,Ponta Do Sol,PT,32.6667,-17.1,68.72,62,6,3.8,clear sky
190,Sitka,US,57.0531,-135.33,49.89,57,75,8.05,light rain
191,Geraldton,AU,-28.7667,114.6,61.21,82,40,14.97,light intensity shower rain
192,Komsomolskiy,UZ,40.4272,71.7189,47.62,53,82,4.61,broken clouds
193,Southbridge,US,42.0751,-72.0334,55.26,97,100,3.0,overcast clouds
194,Arteaga,MX,18.4667,-102.4167,65.71,98,97,3.4,overcast clouds
195,Rudkobing,DK,54.9364,10.7102,55.38,92,100,24.49,overcast clouds
196,Jucurutu,BR,-6.0339,-37.0203,80.85,60,5,20.62,clear sky
197,Alice Springs,AU,-23.7,133.8833,94.55,20,19,25.32,few clouds
198,Biak,ID,-0.9131,122.8766,84.0,66,19,1.77,few clouds
199,Zenica,BA,44.2014,17.9064,41.31,87,100,1.52,overcast clouds
